expr_id,labeled_text
1,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 10 [B-ATVAL] completo [B-EXCHAR] y [O] en [O] orden [B-ATRIB] descendiente [B-ATVAL]
7,"polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 1 [B-ATVAL] con [O] coeficientes [B-ELEM] reales [B-NSET] y [O] fraccionarios [B-NSET] completo [B-EXCHAR] , [O] tiene [O] dos [B-ELCOUNT] terminos [B-ELEM] , [O] no [O] está [O] en [O] orden [B-ATRIB]"
7,Polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] grado [B-ATRIB] 1 [B-ATVAL] con [O] coeficientes [B-ELEM] negativos [B-ELCHAR]
35,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 5 [B-ATVAL]
42,"Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 3 [B-ATVAL] , [O] ordenado [B-EXCHAR] de [O] menor [O] a [O] mayor [O] , [O] con [O] cuatro [B-ELCOUNT] términos [B-ELEM]"
47,Polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] grado [B-ATRIB] dos [B-ATVAL] . [O]
56,"Polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] sexto [B-ATVAL] grado [B-ATRIB] , [O] con [O] coeficientes [B-ELEM] positivos [B-ELCHAR] y [O] negativos [B-ELCHAR] , [O] enteros [B-NSET] y [O] fraccionarios [B-NSET]"
56,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 6 [B-ATVAL] con [O] variable [B-ELEM] X [B-VAR]
84,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 5 [B-ATVAL] completo [B-EXCHAR] y [O] ordenado [B-EXCHAR] Coeficientes [B-ELEM] racionales [B-NSET] e [O] irracionales [B-NSET]
84,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 5 [B-ATVAL] incompleto [B-EXCHAR] con [O] 5 [B-ELCOUNT] términos [B-ELEM]
87,"Polinomio [B-EXTYPE] completo [B-EXCHAR] en [O] orden [B-ATRIB] de [O] potencias [O] descendiente [B-ATVAL] , [O] de [O] noveno [B-ATVAL] grado [B-ATRIB] con [O] la [O] mayoría [O] de [O] sus [O] coeficientes [B-ELEM] fraccionarios [B-NSET]"
98,Ecuación [B-EXTYPE] de [O] grado [B-ATRIB] 6 [B-ATVAL] incompleta [B-EXCHAR]
98,"Polinomio [B-EXTYPE] desordenado [B-EXCHAR] , [O] completo [B-EXCHAR] de [O] grado [B-ATRIB] 6 [B-ATVAL] con [O] todos [O] sus [O] coeficientes [B-ELEM] negativos [B-ELCHAR] y [O] casi [O] todos [O] fraccionarios [B-NSET]"
108,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 9 [B-ATVAL] completo [B-EXCHAR]
115,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 1 [B-ATVAL] completo [B-EXCHAR] con [O] coeficiente [B-ELEM] principal [I-ELEM] 3 [B-ELVAL] / [I-ELVAL] 3 [I-ELVAL]
115,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 1 [B-ATVAL] completo [B-EXCHAR] con [O] coeficientes [B-ELEM] negativos [B-ELCHAR]
115,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 1 [B-ATVAL] completo [B-EXCHAR] con [O] coeficiente [B-ELEM] principal [I-ELEM] fraccionario [B-NSET]
115,Resta [B-EXTYPE] a [O] una [O] variable [B-ELEM] lineal [B-ELCHAR]
143,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 5 [B-ATVAL] completo [B-EXCHAR]
143,Polinomio [B-EXTYPE] completo [B-EXCHAR] en [O] orden [B-ATRIB] ascendente [B-ATVAL] de [O] potencias. [O] El [O] grado [B-ATRIB] es [O] 5 [B-ATVAL] y [O] todos [O] los [O] coeficientes [B-ELEM] son [O] negativos [B-ELCHAR]
153,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 4 [B-ATVAL] completo [B-EXCHAR] con [O] coeficientes [B-ELEM] racionales [B-NSET]
153,polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 4 [B-ATVAL]
161,Polinomio [B-EXTYPE] ordenado [B-EXCHAR] de [O] forma [O] descendiente [B-ATVAL] de [O] grado [B-ATRIB] 9 [B-ATVAL] con [O] coeficientes [B-ELEM] negativos [B-ELCHAR]
161,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 9 [B-ATVAL]
165,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 8 [B-ATVAL] incompleto [B-EXCHAR]
170,Un [O] polinomio [B-EXTYPE] completo [B-EXCHAR] y [O] desordenado [B-EXCHAR] de [O] grado [B-ATRIB] 8 [B-ATVAL] con [O] coeficientes [B-ELEM] fraccionarios [B-NSET] y [O] decimales [B-NSET] positivos [B-ELCHAR]
170,"polinomio [B-EXTYPE] de [O] orden [B-ATRIB] 8 [B-ATVAL] , [O] no [B-EXCHAR] está [I-EXCHAR] ordenada [I-EXCHAR] y [O] sus [O] coeficientes [B-ELEM] son [O] fracciones [B-NSET] y [O] números [O] enteros [B-NSET]"
174,"un [O] polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] orden [B-ATRIB] 5 [B-ATVAL] , [O] con [O] todos [O] sus [O] coeficientes [B-ELEM] negativos. [B-ELCHAR] Esta [O] desordenada [B-EXCHAR] con [O] respectos [O] a [O] las [O] potencias [O]"
174,Polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] quinto [B-ATVAL] grado [B-ATRIB] con [O] todos [O] los [O] números [B-ELEM] negativos. [B-ELCHAR] Es [O] desordenado [B-EXCHAR] y [O] tiene [O] coeficiente [B-ELEM] principal [I-ELEM] -18 [B-ELVAL]
179,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 4 [B-ATVAL] completo [B-EXCHAR]
179,polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 4 [B-ATVAL] completo [B-EXCHAR] con [O] coeficiente [B-ELEM] negativo [B-ELCHAR] de [O] 25.4 [B-ELVAL]
186,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 9 [B-ATVAL]
186,"Un [O] polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] grado [B-ATRIB] 9 [B-ATVAL] sin [B-EXCHAR] orden. [I-EXCHAR] Los [O] coeficientes [B-ELEM] son [O] todo [O] positivos [B-ELCHAR] , [O] de [O] tipo [O] fraccionarios [B-NSET] , [O] enteros [B-NSET] y [O] decimales [B-NSET]"
190,Polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] tercer [B-ATVAL] grado [B-ATRIB]
190,"Polinomio [B-EXTYPE] cúbico [B-EXCHAR] completo [B-EXCHAR] con [O] coeficientes [B-ELEM] decimales [B-NSET] , [O] fraccionarios [B-NSET] y [O] enteros. [B-NSET] El [O] término [B-ELEM] independiente [I-ELEM] es [O] 23 [B-ELVAL] y [O] el [O] coeficiente [B-ELEM] del [I-ELEM] término [I-ELEM] principal [I-ELEM] es [O] decimal. [B-NSET] El [O] polinimio [B-EXTYPE] está [O] ordenado [B-EXCHAR] de [O] forma [O] creciente [O]"
192,Binomio [B-EXTYPE] lineal [B-EXCHAR] completo. [B-EXCHAR] El [O] coeficiente [B-ELEM] del [I-ELEM] término [I-ELEM] principal [I-ELEM] es [O] fraccionario [B-NSET] negativo [B-ELCHAR]
192,"Polinomio [B-EXTYPE] lineal [B-EXCHAR] , [O] completo [B-EXCHAR] con [O] 2 [B-ELCOUNT] términos [B-ELEM]"
196,Polinomio [B-EXTYPE] cuadrático [B-EXCHAR] completo [B-EXCHAR] y [O] desordenado [B-EXCHAR]
196,Polinomio [B-EXTYPE] de [O] segundo [B-ATVAL] grado [B-ATRIB]
199,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] nueve [B-ATVAL] con [O] números [B-ELEM] negativos [B-ELCHAR]
199,Polinomio [B-EXTYPE] de [O] noveno [B-ATVAL] grado [B-ATRIB] completo [B-EXCHAR] y [O] ordenado [B-EXCHAR] de [O] menor [O] a [O] mayor [O]
212,Un [O] polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 5 [B-ATVAL] completo [B-EXCHAR] y [O] en [B-EXCHAR] orden. [I-EXCHAR] El [O] coeficiente [B-ELEM] principal [I-ELEM] debe [O] ser [O] 3 [B-ELVAL] / [I-ELVAL] 2 [I-ELVAL]
212,Polinomios [B-EXTYPE] de [O] grado [B-ATRIB] 5 [B-ATVAL] Coeficiente [B-ELEM] independiente [I-ELEM] 2 [B-ELVAL] / [I-ELVAL] 3 [I-ELVAL] Polinomios [B-EXTYPE] completo. [B-EXCHAR] Cantidad [O] de [O] términos [B-ELEM] 5 [B-ELCOUNT] Ordenado [B-EXCHAR]
215,"Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 6 [B-ATVAL] , [O] completo [B-EXCHAR] , [O] no [B-EXCHAR] ordenado [I-EXCHAR] y [O] con [O] 7 [B-ELCOUNT] términos [B-ELEM]"
215,Polinomio [B-EXTYPE] fraccionario [B-NSET] de [O] grado [B-ATRIB] 6 [B-ATVAL] completo [B-EXCHAR]
217,"polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 7 [B-ATVAL] , [O] completo [B-EXCHAR] , [O] ordenado [B-EXCHAR] de [O] forma [O] creciente [O] y [O] con [O] 8 [B-ELCOUNT] términos [B-ELEM]"
217,"Polinomio [B-EXTYPE] con [O] coeficientes [B-ELEM] fraccionarios [B-NSET] negativos [B-ELCHAR] de [O] grado [B-ATRIB] 7 [B-ATVAL] , [O] completo [B-EXCHAR]"
217,Polinomio [B-ATVAL] fraccionario [B-NSET] de [O] grado [B-ATRIB] 7 [B-ATVAL] completo [B-EXCHAR]
234,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 3 [B-ATVAL] Completo [B-EXCHAR]
234,"Polinimio [B-EXTYPE] de [O] grado [B-ATRIB] 3 [B-ATVAL] ordenado [B-EXCHAR] , [O] sin [O] coeficientes [B-ELEM] nulos [B-ELCHAR]"
236,"Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 5 [B-ATVAL] , [O] desordenado [B-EXCHAR] . [O]"
236,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 5 [B-ATVAL] completo [B-EXCHAR]
237,"Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 6 [B-ATVAL] , [O] ordenado [B-EXCHAR] , [O] con [O] variable=x [B-ELEM] , [O] algunos [O] fracciones [B-NSET]"
237,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 6 [B-ATVAL] Completo [B-EXCHAR]
238,Polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] grado [B-ATRIB] 7 [B-ATVAL]
249,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 10 [B-ATVAL] completo [B-EXCHAR] y [O] desordenado. [B-EXCHAR] La [O] mayoría [O] de [O] los [O] coeficientes [B-ELEM] son [O] fracciones [B-NSET]
249,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 10 [B-ATVAL]
250,Polinomio [B-EXTYPE] de [O] primer [B-ATVAL] grado [B-ATRIB] completo. [B-EXCHAR] Coeficiente [B-ELEM] principal [I-ELEM] 33 [B-ELVAL]
250,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 1 [B-ATVAL]
252,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 7 [B-ATVAL]
254,"Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 10 [B-ATVAL] , [O] coeficiente [B-ELEM] principal [I-ELEM] 2 [B-ELVAL] / [I-ELVAL] 10 [I-ELVAL] , [O] ordenando [B-EXCHAR] y [O] completo [B-ATRIB]"
256,"Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 6 [B-ATVAL] , [O] coeficiente [B-ELEM] principal [I-ELEM] 17 [B-ELVAL] , [O] completo [B-EXCHAR] y [O] ordenado [B-EXCHAR]"
265,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 1 [B-ATVAL] y [O] numeros [B-ELEM] negativos [B-ELCHAR]
269,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 4 [B-ATVAL] completo [B-EXCHAR]
273,polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 6 [B-ATVAL] completo [B-EXCHAR] compuesto [O] de [O] coeficientes [B-ELEM] racionales [B-NSET] y [O] decimales [B-NSET]
273,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 6 [B-ATVAL] X [B-VAR] variable [B-ELEM]
276,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 4 [B-ATVAL] completo [B-EXCHAR]
277,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 9 [B-ATVAL] completo [B-EXCHAR] y [O] ordenado [B-EXCHAR]
277,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 9 [B-ATVAL] X [B-VAR] variable [B-ELEM]
280,"Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 8 [B-ATVAL] completo [B-EXCHAR] , [O] con [O] 9 [B-ELCOUNT] términos [B-ELEM] , [O] está [O] en [B-EXCHAR] orden [I-EXCHAR]"
287,Es [O] un [O] polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 4 [B-ATVAL] con [O] coeficientes [B-ELEM] reales [B-NSET]
291,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 1 [B-ATVAL] X [B-VAR] variable [B-ELEM]
291,"polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 1 [B-ATVAL] completo [B-EXCHAR] , [O] con [O] coeficiente [B-ELEM] principal [I-ELEM] -37 [B-ELVAL] y [O] termino [B-ELEM] independiente [I-ELEM] 24 [B-ELVAL] . [O]"
297,"Polinomio [B-EXTYPE] grado [B-ATRIB] 6 [B-ATVAL] , [O] completo [B-EXCHAR]"
297,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 6 [B-ELEM] de [O] 7 [B-ELCOUNT] términos [B-ELEM]
300,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] uno [B-ATVAL] completo [B-EXCHAR]
300,Polinomio [B-EXTYPE] de [O] primer [B-ATVAL] grado [B-ATRIB]
302,"Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 10 [B-ATVAL] , [O] completo [B-EXCHAR] Desordenado [B-EXCHAR]"
