,tree,group
0,"SUM,NEG,VF,NEG,MUL,VF,z,E,MUL,VN,POW,z,14,E,E",7
1,"SUM,NEG,MUL,VN,POW,z,4,E,E",7
2,"SUM,MUL,VF,POW,z,3,E,E",7
3,"SUM,NEG,MUL,VN,POW,z,5,E,NEG,MUL,VC,POW,z,4,E,MUL,VF,POW,z,3,E,NEG,VC,E",7
4,"SUM,NEG,MUL,VF,POW,z,5,E,NEG,MUL,VC,POW,z,9,E,NEG,MUL,VC,POW,z,8,E,NEG,MUL,VN,POW,z,14,E,NEG,MUL,VF,POW,z,2,E,NEG,VN,NEG,MUL,VF,POW,z,11,E,MUL,VF,z,E,NEG,MUL,VN,POW,z,10,E,NEG,MUL,VN,POW,z,7,E,MUL,VN,POW,z,6,E,MUL,VN,POW,z,4,E,NEG,MUL,VN,POW,z,15,E,E",7
5,"SUM,NEG,VF,MUL,VF,POW,z,10,E,NEG,MUL,VF,POW,z,6,E,MUL,VF,POW,z,7,E,MUL,VC,POW,z,8,E,MUL,VN,POW,z,2,E,NEG,MUL,VN,POW,z,3,E,MUL,VN,POW,z,5,E,E",7
6,"SUM,MUL,VF,POW,z,10,E,E",7
7,"SUM,MUL,VN,POW,z,2,E,MUL,VF,POW,z,4,E,E",7
8,"SUM,NEG,VC,MUL,VN,POW,z,4,E,E",7
9,"SUM,NEG,VC,MUL,VN,POW,z,5,E,NEG,MUL,VN,z,E,MUL,VF,POW,z,2,E,E",7
10,"SUM,MUL,VF,POW,z,3,E,MUL,VF,POW,z,7,E,NEG,MUL,VN,POW,z,6,E,MUL,VN,z,E,NEG,MUL,VC,POW,z,14,E,MUL,VF,POW,z,13,E,MUL,VN,POW,z,8,E,E",7
11,"SUM,MUL,VN,z,E,MUL,VN,POW,z,4,E,MUL,VN,POW,z,5,E,NEG,VC,E",7
12,"SUM,NEG,MUL,VN,POW,z,5,E,NEG,VF,NEG,MUL,VF,POW,z,6,E,MUL,VC,POW,z,2,E,NEG,MUL,VC,POW,z,7,E,E",7
13,"SUM,MUL,VN,z,E,E",7
14,"SUM,NEG,MUL,VC,POW,z,6,E,VN,NEG,MUL,VN,POW,z,7,E,E",7
15,"SUM,NEG,MUL,VF,z,E,NEG,MUL,VF,POW,z,7,E,E",7
16,"SUM,NEG,MUL,VC,POW,z,2,E,MUL,VN,z,E,MUL,VN,POW,z,5,E,MUL,VN,POW,z,8,E,VN,NEG,MUL,VF,POW,z,3,E,NEG,MUL,VN,POW,z,7,E,NEG,MUL,VN,POW,z,6,E,E",7
17,"SUM,NEG,MUL,VN,z,E,NEG,MUL,VF,POW,z,3,E,E",7
18,"SUM,NEG,MUL,VC,POW,z,4,E,VN,MUL,VC,POW,z,3,E,NEG,MUL,VF,POW,z,7,E,NEG,MUL,VC,POW,z,10,E,NEG,MUL,VN,POW,z,11,E,NEG,MUL,VN,POW,z,2,E,MUL,VN,POW,z,5,E,E",7
19,"SUM,MUL,VN,POW,z,7,E,MUL,VN,POW,z,9,E,E",7
20,"SUM,MUL,VF,POW,z,5,E,MUL,VN,POW,z,2,E,E",7
21,"SUM,MUL,VN,POW,z,11,E,NEG,MUL,VN,POW,z,4,E,NEG,MUL,VF,POW,z,13,E,MUL,VN,POW,z,14,E,NEG,MUL,VF,POW,z,7,E,NEG,MUL,VC,POW,z,8,E,MUL,VN,POW,z,12,E,MUL,VN,z,E,E",7
22,"SUM,NEG,MUL,VN,z,E,NEG,MUL,VN,POW,z,7,E,E",7
