expr_id,input,target,description,tree_expr,pseudolatex,latex_expr
1,reconocer entidades nombradas: Polinomio de grado 10 completo y en orden descendiente,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 10 [B-ATVAL] completo [B-EXCHAR] y [O] en [O] orden [B-ATRIB] descendiente [B-ATVAL],Polinomio de grado 10 completo y en orden descendiente,SUM NEG MUL VR POW x 10 E NEG MUL VR POW x 9 E NEG MUL VR POW x 8 E NEG MUL VR POW x 7 E NEG MUL VR POW x 6 E NEG MUL VR POW x 5 E NEG MUL VR POW x 4 E NEG MUL VR POW x 3 E NEG MUL VR POW x 2 E NEG MUL VR x E NEG VR E,- VRx^{10} - VRx^{9} - VRx^{8} - VRx^{7} - VRx^{6} - VRx^{5} - VRx^{4} - VRx^{3} - VRx^{2} - VRx - VR,- \frac{7}{10}x^{10} - \frac{9}{9}x^{9} - \frac{5}{2}x^{8} - 38x^{7} - 5.7x^{6} - \frac{2}{5}x^{5} - 44.6x^{4} - \frac{5}{8}x^{3} - 2x^{2} - 37x - 31.5
7,"reconocer entidades nombradas: polinomio de grado 1 con coeficientes reales y fraccionarios completo, tiene dos terminos, no está en orden","polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 1 [B-ATVAL] con [O] coeficientes [B-ELEM] reales [B-NSET] y [O] fraccionarios [B-NSET] completo [B-EXCHAR] , [O] tiene [O] dos [B-ELCOUNT] terminos [B-ELEM] , [O] no [O] está [O] en [O] orden [B-ATRIB]","polinomio de grado 1 con coeficientes reales y fraccionarios completo, tiene dos terminos, no está en orden",SUM NEG VR NEG MUL VR x E E,- VR - VRx,- \frac{4}{2} - 32.0x
7,reconocer entidades nombradas: Polinomio completo de grado 1 con coeficientes negativos,Polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] grado [B-ATRIB] 1 [B-ATVAL] con [O] coeficientes [B-ELEM] negativos [B-ELCHAR],Polinomio completo de grado 1 con coeficientes negativos,SUM NEG VR NEG MUL VR x E E,- VR - VRx,- \frac{4}{2} - 32.0x
35,reconocer entidades nombradas: Polinomio de grado 5,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 5 [B-ATVAL],Polinomio de grado 5,SUM NEG VR NEG MUL VR POW x 3 E NEG MUL VR POW x 5 E NEG MUL VR x E NEG MUL VR POW x 2 E NEG MUL VR POW x 4 E E,- VR - VRx^{3} - VRx^{5} - VRx - VRx^{2} - VRx^{4},- \frac{9}{2} - 8.6x^{3} - 44x^{5} - 2x - \frac{4}{9}x^{2} - \frac{2}{7}x^{4}
42,"reconocer entidades nombradas: Polinomio de grado 3, ordenado de menor a mayor, con cuatro términos","Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 3 [B-ATVAL] , [O] ordenado [B-EXCHAR] de [O] menor [O] a [O] mayor [O] , [O] con [O] cuatro [B-ELCOUNT] términos [B-ELEM]","Polinomio de grado 3, ordenado de menor a mayor, con cuatro términos",SUM NEG MUL VR POW x 3 E MUL VR POW x 2 E MUL VR x E VR E,- VRx^{3} + VRx^{2} + VRx + VR,- 41x^{3} + \frac{9}{10}x^{2} + \frac{4}{2}x + \frac{3}{10}
47,reconocer entidades nombradas: Polinomio completo de grado dos.,Polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] grado [B-ATRIB] dos [B-ATVAL] . [O],Polinomio completo de grado dos.,SUM MUL VR POW x 2 E VR MUL VR x E E,VRx^{2} + VR + VRx,41x^{2} + \frac{1}{6} + 46.2x
56,"reconocer entidades nombradas: Polinomio completo de sexto grado, con coeficientes positivos y negativos, enteros y fraccionarios","Polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] sexto [B-ATVAL] grado [B-ATRIB] , [O] con [O] coeficientes [B-ELEM] positivos [B-ELCHAR] y [O] negativos [B-ELCHAR] , [O] enteros [B-NSET] y [O] fraccionarios [B-NSET]","Polinomio completo de sexto grado, con coeficientes positivos y negativos, enteros y fraccionarios",SUM NEG MUL VR POW x 6 E MUL VR POW x 5 E MUL VR POW x 4 E NEG MUL VR POW x 3 E NEG MUL VR POW x 2 E NEG MUL VR x E VR E,- VRx^{6} + VRx^{5} + VRx^{4} - VRx^{3} - VRx^{2} - VRx + VR,- 40x^{6} + \frac{5}{5}x^{5} + \frac{1}{4}x^{4} - 34x^{3} - \frac{9}{5}x^{2} - \frac{10}{6}x + \frac{9}{3}
56,reconocer entidades nombradas: Polinomio de grado 6 con variable X,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 6 [B-ATVAL] con [O] variable [B-ELEM] X [B-VAR],Polinomio de grado 6 con variable X,SUM NEG MUL VR POW x 6 E MUL VR POW x 5 E MUL VR POW x 4 E NEG MUL VR POW x 3 E NEG MUL VR POW x 2 E NEG MUL VR x E VR E,- VRx^{6} + VRx^{5} + VRx^{4} - VRx^{3} - VRx^{2} - VRx + VR,- 40x^{6} + \frac{5}{5}x^{5} + \frac{1}{4}x^{4} - 34x^{3} - \frac{9}{5}x^{2} - \frac{10}{6}x + \frac{9}{3}
84,reconocer entidades nombradas: Polinomio de grado 5 completo y ordenado Coeficientes racionales e irracionales,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 5 [B-ATVAL] completo [B-EXCHAR] y [O] ordenado [B-EXCHAR] Coeficientes [B-ELEM] racionales [B-NSET] e [O] irracionales [B-NSET],Polinomio de grado 5 completo y ordenado Coeficientes racionales e irracionales,SUM NEG MUL VR POW x 5 E NEG MUL VR POW x 4 E NEG MUL VR POW x 3 E NEG MUL VR POW x 2 E NEG MUL VR x E NEG VR E,- VRx^{5} - VRx^{4} - VRx^{3} - VRx^{2} - VRx - VR,- \frac{5}{1}x^{5} - 1x^{4} - 35.0x^{3} - 19.9x^{2} - \frac{5}{10}x - 25.2
84,reconocer entidades nombradas: Polinomio de grado 5 incompleto con 5 términos,Polinomio [B-EXTYPE] de [O] grado [B-ATRIB] 5 [B-ATVAL] incompleto [B-EXCHAR] con [O] 5 [B-ELCOUNT] términos [B-ELEM],Polinomio de grado 5 incompleto con 5 términos,SUM NEG MUL VR POW x 5 E NEG MUL VR POW x 4 E NEG MUL VR POW x 3 E NEG MUL VR POW x 2 E NEG MUL VR x E NEG VR E,- VRx^{5} - VRx^{4} - VRx^{3} - VRx^{2} - VRx - VR,- \frac{5}{1}x^{5} - 1x^{4} - 35.0x^{3} - 19.9x^{2} - \frac{5}{10}x - 25.2
