,epoch,loss,type
0,0.107642626480086,1.449,training
2,0.215285252960172,0.6059,training
4,0.322927879440258,0.508,training
6,0.430570505920344,0.4257,training
8,0.53821313240043,0.3728,training
10,0.645855758880516,0.3821,training
12,0.7534983853606021,0.33530000000000004,training
14,0.861141011840688,0.34500000000000003,training
16,0.9687836383207751,0.31120000000000003,training
18,1.076426264800861,0.2952,training
20,1.184068891280947,0.2775,training
22,1.291711517761033,0.263,training
24,1.399354144241119,0.2431,training
26,1.506996770721205,0.24650000000000002,training
28,1.614639397201291,0.2272,training
30,1.7222820236813772,0.229,training
32,1.829924650161463,0.2359,training
34,1.9375672766415502,0.2025,training
36,2.045209903121636,0.2156,training
38,2.152852529601722,0.1915,training
40,2.260495156081808,0.19310000000000002,training
42,2.368137782561894,0.1762,training
44,2.47578040904198,0.17470000000000002,training
46,2.583423035522067,0.1553,training
48,2.691065662002152,0.1705,training
50,2.798708288482239,0.1825,training
52,2.9063509149623252,0.17200000000000001,training
54,3.013993541442411,0.1578,training
56,3.121636167922497,0.13440000000000002,training
58,3.229278794402583,0.1313,training
60,3.336921420882669,0.15910000000000002,training
62,3.4445640473627552,0.11910000000000001,training
64,3.552206673842842,0.1333,training
66,3.659849300322927,0.1395,training
68,3.767491926803014,0.1223,training
70,3.8751345532831003,0.1462,training
72,3.982777179763186,0.1265,training
74,4.090419806243272,0.1121,training
76,4.198062432723359,0.1135,training
78,4.305705059203444,0.10010000000000001,training
80,4.41334768568353,0.09770000000000001,training
82,4.520990312163617,0.1071,training
84,4.628632938643703,0.0889,training
86,4.736275565123789,0.09910000000000001,training
88,4.843918191603875,0.10980000000000001,training
90,4.951560818083961,0.1004,training
1,0.107642626480086,0.768595695495605,evaluation
3,0.215285252960172,0.73971801996231,evaluation
5,0.322927879440258,0.617863297462463,evaluation
7,0.430570505920344,0.6331713199615471,evaluation
9,0.53821313240043,0.5643516778945921,evaluation
11,0.645855758880516,0.50707721710205,evaluation
13,0.7534983853606021,0.5056213736534111,evaluation
15,0.861141011840688,0.47227188944816506,evaluation
17,0.9687836383207751,0.46830737590789706,evaluation
19,1.076426264800861,0.45207670331001204,evaluation
21,1.184068891280947,0.408538699150085,evaluation
23,1.291711517761033,0.40304058790206904,evaluation
25,1.399354144241119,0.39047110080718905,evaluation
27,1.506996770721205,0.36811426281929005,evaluation
29,1.614639397201291,0.341171264648437,evaluation
31,1.7222820236813772,0.340233117341995,evaluation
33,1.829924650161463,0.330230295658111,evaluation
35,1.9375672766415502,0.31118246912956204,evaluation
37,2.045209903121636,0.31269359588623,evaluation
39,2.152852529601722,0.29869797825813205,evaluation
41,2.260495156081808,0.28040137887001004,evaluation
43,2.368137782561894,0.273578882217407,evaluation
45,2.47578040904198,0.261010706424713,evaluation
47,2.583423035522067,0.27439644932746804,evaluation
49,2.691065662002152,0.25465983152389504,evaluation
51,2.798708288482239,0.247825294733047,evaluation
53,2.9063509149623252,0.23393419384956302,evaluation
55,3.013993541442411,0.23189832270145402,evaluation
57,3.121636167922497,0.209327489137649,evaluation
59,3.229278794402583,0.20702151954174003,evaluation
61,3.336921420882669,0.202623292803764,evaluation
63,3.4445640473627552,0.197000637650489,evaluation
65,3.552206673842842,0.188468635082244,evaluation
67,3.659849300322927,0.18134506046772,evaluation
69,3.767491926803014,0.17986665666103302,evaluation
71,3.8751345532831003,0.18029819428920701,evaluation
73,3.982777179763186,0.16765752434730502,evaluation
75,4.090419806243272,0.156143829226493,evaluation
77,4.198062432723359,0.15563558042049402,evaluation
79,4.305705059203444,0.147704809904098,evaluation
81,4.41334768568353,0.150070130825042,evaluation
83,4.520990312163617,0.14595066010951901,evaluation
85,4.628632938643703,0.141524598002433,evaluation
87,4.736275565123789,0.13864074647426602,evaluation
89,4.843918191603875,0.13513645529747,evaluation
91,4.951560818083961,0.13297851383686002,evaluation
