,epoch,loss,type
0,0.15552099533437,1.3052000000000001,training
2,0.31104199066874,0.496,training
4,0.46656298600311,0.3719,training
6,0.62208398133748,0.3655,training
8,0.77760497667185,0.2992,training
10,0.93312597200622,0.29,training
12,1.088646967340591,0.2374,training
14,1.244167962674961,0.2657,training
16,1.399688958009331,0.22640000000000002,training
18,1.555209953343701,0.2521,training
20,1.710730948678071,0.22740000000000002,training
22,1.8662519440124412,0.1973,training
24,2.021772939346812,0.19010000000000002,training
26,2.177293934681182,0.1766,training
28,2.332814930015552,0.1688,training
30,2.488335925349922,0.18430000000000002,training
32,2.643856920684292,0.1587,training
34,2.799377916018662,0.1653,training
36,2.954898911353032,0.1487,training
38,3.110419906687402,0.13570000000000002,training
40,3.265940902021773,0.1265,training
42,3.421461897356143,0.1577,training
44,3.576982892690513,0.1236,training
46,3.7325038880248833,0.1075,training
48,3.888024883359253,0.1232,training
50,4.043545878693624,0.1061,training
52,4.199066874027994,0.1091,training
54,4.354587869362364,0.0989,training
56,4.510108864696734,0.10260000000000001,training
58,4.665629860031104,0.10010000000000001,training
60,4.821150855365475,0.0908,training
62,4.976671850699844,0.0868,training
1,0.15552099533437,0.7381050586700441,evaluation
3,0.31104199066874,0.646430671215057,evaluation
5,0.46656298600311,0.6173217296600341,evaluation
7,0.62208398133748,0.620851993560791,evaluation
9,0.77760497667185,0.560077726840972,evaluation
11,0.93312597200622,0.5097975134849541,evaluation
13,1.088646967340591,0.48343288898468006,evaluation
15,1.244167962674961,0.45286205410957303,evaluation
17,1.399688958009331,0.419368207454681,evaluation
19,1.555209953343701,0.41444823145866305,evaluation
21,1.710730948678071,0.383242309093475,evaluation
23,1.8662519440124412,0.363108903169631,evaluation
25,2.021772939346812,0.353395968675613,evaluation
27,2.177293934681182,0.32629427313804604,evaluation
29,2.332814930015552,0.328708499670028,evaluation
31,2.488335925349922,0.31232687830924905,evaluation
33,2.643856920684292,0.288053810596466,evaluation
35,2.799377916018662,0.26740631461143405,evaluation
37,2.954898911353032,0.25273749232292103,evaluation
39,3.110419906687402,0.248716592788696,evaluation
41,3.265940902021773,0.23920306563377303,evaluation
43,3.421461897356143,0.23010189831256803,evaluation
45,3.576982892690513,0.22340700030326802,evaluation
47,3.7325038880248833,0.21286103129386902,evaluation
49,3.888024883359253,0.20331348478794,evaluation
51,4.043545878693624,0.18953366577625202,evaluation
53,4.199066874027994,0.179056867957115,evaluation
55,4.354587869362364,0.17811471223831102,evaluation
57,4.510108864696734,0.170900538563728,evaluation
59,4.665629860031104,0.163124471902847,evaluation
61,4.821150855365475,0.157469242811203,evaluation
63,4.976671850699844,0.15659064054489102,evaluation
