,epoch,loss,type
0,0.15552099533437,1.4042,training
2,0.31104199066874,0.6954,training
4,0.46656298600311,0.5949,training
6,0.62208398133748,0.5258,training
8,0.77760497667185,0.5314,training
10,0.93312597200622,0.4832,training
12,1.088646967340591,0.4247,training
14,1.244167962674961,0.4081,training
16,1.399688958009331,0.3965,training
18,1.555209953343701,0.3866,training
20,1.710730948678071,0.3547,training
22,1.8662519440124412,0.3446,training
24,2.021772939346812,0.32380000000000003,training
26,2.177293934681182,0.3114,training
28,2.332814930015552,0.28400000000000003,training
30,2.488335925349922,0.2909,training
32,2.643856920684292,0.29550000000000004,training
34,2.799377916018662,0.2828,training
36,2.954898911353032,0.2504,training
38,3.110419906687402,0.23450000000000001,training
40,3.265940902021773,0.224,training
42,3.421461897356143,0.2119,training
44,3.576982892690513,0.2291,training
46,3.7325038880248833,0.2116,training
48,3.888024883359253,0.2038,training
50,4.043545878693624,0.2005,training
52,4.199066874027994,0.1976,training
54,4.354587869362364,0.17220000000000002,training
56,4.510108864696734,0.1721,training
58,4.665629860031104,0.1675,training
60,4.821150855365475,0.1555,training
62,4.976671850699844,0.1626,training
1,0.15552099533437,0.675386488437652,evaluation
3,0.31104199066874,0.647640943527221,evaluation
5,0.46656298600311,0.5806007385253901,evaluation
7,0.62208398133748,0.5224587917327881,evaluation
9,0.77760497667185,0.485272049903869,evaluation
11,0.93312597200622,0.468211114406585,evaluation
13,1.088646967340591,0.416839390993118,evaluation
15,1.244167962674961,0.41180032491683904,evaluation
17,1.399688958009331,0.368059486150741,evaluation
19,1.555209953343701,0.352472066879272,evaluation
21,1.710730948678071,0.349786788225173,evaluation
23,1.8662519440124412,0.31711345911026,evaluation
25,2.021772939346812,0.30961123108863803,evaluation
27,2.177293934681182,0.30743196606636003,evaluation
29,2.332814930015552,0.28974801301956105,evaluation
31,2.488335925349922,0.286296367645263,evaluation
33,2.643856920684292,0.24784289300441703,evaluation
35,2.799377916018662,0.23432932794094002,evaluation
37,2.954898911353032,0.23031228780746402,evaluation
39,3.110419906687402,0.22125020623207,evaluation
41,3.265940902021773,0.21641731262207,evaluation
43,3.421461897356143,0.201960384845733,evaluation
45,3.576982892690513,0.190976709127426,evaluation
47,3.7325038880248833,0.18617904186248702,evaluation
49,3.888024883359253,0.18469245731830503,evaluation
51,4.043545878693624,0.175128579139709,evaluation
53,4.199066874027994,0.163580179214477,evaluation
55,4.354587869362364,0.15793561935424802,evaluation
57,4.510108864696734,0.15435048937797502,evaluation
59,4.665629860031104,0.150260895490646,evaluation
61,4.821150855365475,0.147220715880393,evaluation
63,4.976671850699844,0.14638134837150502,evaluation
65,5.0,0.11675252765417,evaluation
