;tree;pseudolatex
0;SUM,NEG,MUL,VF,POW,x,5,E,MUL,VN,POW,x,8,E,NEG,MUL,VN,POW,x,6,E,MUL,VF,POW,x,14,E,NEG,MUL,VF,POW,x,2,E,MUL,VN,POW,x,13,E,MUL,VN,POW,x,12,E,NEG,MUL,VF,POW,x,4,E,VF,MUL,VF,POW,x,10,E,MUL,VN,POW,x,9,E,E;- VF.x^{5} + VN.x^{8} - VN.x^{6} + VF.x^{14} - VF.x^{2} + VN.x^{13} + VN.x^{12} - VF.x^{4} + VF + VF.x^{10} + VN.x^{9}
1;SUM,NEG,MUL,VF,POW,x,6,E,MUL,VN,POW,x,5,E,E;- VF.x^{6} + VN.x^{5}
2;SUM,NEG,MUL,VN,POW,x,6,E,MUL,VF,POW,x,5,E,MUL,VF,POW,x,8,E,MUL,VN,x,E,NEG,MUL,VN,POW,x,7,E,VN,E;- VN.x^{6} + VF.x^{5} + VF.x^{8} + VN.x - VN.x^{7} + VN
3;SUM,MUL,VN,POW,x,6,E,E;VN.x^{6}
4;SUM,MUL,VF,POW,x,3,E,NEG,MUL,VF,POW,x,15,E,VF,NEG,MUL,VN,POW,x,4,E,MUL,VF,POW,x,2,E,MUL,VN,POW,x,7,E,NEG,MUL,VF,POW,x,8,E,MUL,VN,x,E,MUL,VN,POW,x,6,E,MUL,VF,POW,x,9,E,NEG,MUL,VF,POW,x,13,E,NEG,MUL,VN,POW,x,11,E,E;VF.x^{3} - VF.x^{15} + VF - VN.x^{4} + VF.x^{2} + VN.x^{7} - VF.x^{8} + VN.x + VN.x^{6} + VF.x^{9} - VF.x^{13} - VN.x^{11}
5;SUM,MUL,VF,POW,x,7,E,NEG,MUL,VN,x,E,E;VF.x^{7} - VN.x
6;SUM,NEG,MUL,VN,POW,x,3,E,MUL,VF,POW,x,7,E,NEG,MUL,VN,POW,x,6,E,MUL,VN,POW,x,10,E,NEG,MUL,VF,POW,x,13,E,NEG,MUL,VF,POW,x,11,E,MUL,VF,POW,x,12,E,NEG,VN,E;- VN.x^{3} + VF.x^{7} - VN.x^{6} + VN.x^{10} - VF.x^{13} - VF.x^{11} + VF.x^{12} - VN
7;SUM,MUL,VF,POW,x,2,E,E;VF.x^{2}
8;SUM,MUL,VN,x,E,NEG,MUL,VF,POW,x,5,E,MUL,VN,POW,x,3,E,NEG,MUL,VF,POW,x,4,E,NEG,MUL,VN,POW,x,2,E,E;VN.x - VF.x^{5} + VN.x^{3} - VF.x^{4} - VN.x^{2}
9;SUM,MUL,VF,x,E,E;VF.x
